Course Code,Section,Credits,Title,Professor,Days,Start Time,End Time,Begin Date,End Date,Location,Building,Room,Comment,SOPHIA,Via Viking,Signature,Foundational Area or Knowledge Area,Comp 1,Comp 2
ARTS 4800,A,3,Graphic Design V,Izia Lindsay,TR,11:00 AM,1:50 PM,08/26/2026,12/11/2026,MAIN,CVA,181,,,,,,,
ARTS 4850,A,3,Graphic Design VI,Izia Lindsay,TR,11:00 AM,1:50 PM,08/26/2026,12/11/2026,MAIN,CVA,181,,,,,,,
ARTS 4900,A,1,Senior Seminar,Lindsay Twa,R,7:00 PM,7:50 PM,08/26/2026,12/11/2026,MAIN,HUM,123,,,Signature,Experiential Course,,,
ARTS 4901,A,2,BFA Senior Sem: Art Professions,Lindsay Twa,R,7:00 PM,8:50 PM,08/26/2026,12/11/2026,MAIN,HUM,123,,,Signature,Experiential Course,,,
ATHT 5000,A,2,Fundamentals of AT,James R Day,,12:00 AM,12:00 AM,08/26/2026,12/11/2026,MAIN,OFF,,,,,,,,
ATHT 5001,A,1,Fundamentals of AT Lab I,Jamie S Schoenherr,TR,12:15 PM,2:15 PM,08/26/2026,10/09/2026,MAIN,UWC,205,,,,,,,
ATHT 5101,A,1,Fundamentals of AT Lab II,Jamie S Schoenherr,TF,12:15 PM,2:15 PM,10/15/2026,12/11/2026,MAIN,UWC,205,,,,,,,
ATHT 5175,A,2,Clinical Education I,James R Day,,12:00 AM,12:00 AM,08/26/2026,12/11/2026,MAIN,OFF,,,,,,,,
ATHT 5520,A,4,Pathology Eval & Care I,Missy Ann Fraser,MW,7:30 AM,9:50 AM,08/26/2026,12/11/2026,MAIN,UWC,205,,,,,,,
ATHT 5521,A,1,Pathology Eval & Care Lab I,Missy Ann Fraser,TR,8:00 AM,10:00 AM,08/26/2026,10/09/2026,MAIN,UWC,205,,,,,,,
ATHT 5575,A,1,Clincal Edu (Equip Intensive),James R Day,,12:00 AM,12:00 AM,08/26/2026,12/11/2026,MAIN,OFF,,,,,,,,
ATHT 5621,A,1,Pathology Eval & Care Lab II,Missy Ann Fraser,TR,8:00 AM,10:00 AM,10/15/2026,12/11/2026,MAIN,UWC,205,,,,,,,
ATHT 5675,A,2,Clinical Education III,James R Day,,12:00 AM,12:00 AM,08/26/2026,12/11/2026,MAIN,OFF,,,,,,,,
ATHT 5676,A,4,Combined Clinical Education I,James R Day,,12:00 AM,12:00 AM,08/26/2026,12/11/2026,MAIN,OFF,,,,,,,,
ATHT 6064,A,2,Professional Practices I,Jamie S Schoenherr,,12:00 AM,12:00 AM,08/26/2026,10/09/2026,MAIN,OFF,,,,,,,,
ATHT 6150,A,2,Hlth Advoc & Admin Prac,James R Day,,12:00 AM,12:00 AM,10/15/2026,12/11/2026,MAIN,OFF,,,,,,,,
ATHT 6164,A,2,Professional Practices II,Jamie S Schoenherr,,12:00 AM,12:00 AM,10/15/2026,12/11/2026,MAIN,OFF,,,,,,,,
ATHT 6175,A,9,Clinical Mentorship I,James R Day,,12:00 AM,12:00 AM,08/26/2026,12/11/2026,MAIN,OFF,,,,,,,,
ATHT 6475,A,3,Clinical Immersion,James R Day,,12:00 AM,12:00 AM,08/26/2026,12/11/2026,MAIN,OFF,,,,,,,,
AUAC 0350,A,3,Transition to Independent Living,Catherine Kay Davis,TR,10:50 AM,12:05 PM,08/26/2026,12/11/2026,MAIN,MC,220,,,,,,,
